hashtag,node_hash,weight
blogsicilia,-5736629460162054304,2
blogsicilianotizie,-7139372570209038500,8
bmginter,-5317338291432472313,1
bnt162b2,-3566013080876270761,1
boccabiliosa,-1187415613362980134,1
body,5722002042849005518,2
boldrini,-2182508751772265815,4
bollettino,-8287866247256092008,1
bologna,8121691312808602280,1
bonus,-411738475164190541,1
book,-7088042490305757857,1
books,-1780548479418737330,2
bookstagram,-8628554302974801026,1
borghi,-671711235329394107,1
borussia,-7270372179354357248,1
borussiainter,6814926489617033511,3
boscaglia,-8124933738145804602,1
boschi,-1161089041778690490,1
brandjournalism,5373827276281450599,3
brasile,88006752446452105,1
breakthecycle,-3188492743507507978,1
briannacarafa,-5162534241178884658,1
briciole,181185283093273514,1
bruxelles,-389953801574181795,2
bts,2402952766920069752,2
bts_be,-5249599333492329975,1
buenosaires,-3009667835117393636,1
buffon,-4121419809233510748,2
bull,-3526423200436836366,1
bundesliga,-5894132098059143439,1
buonadomenica,94237896815627513,1
buonanotte,-3532938839497458879,1
buonaserata,-5936818246008214578,1
buonenotizie,3635778272356816833,1
buoniniziosettimana,-3066552651616400792,1
burioni,1668535760413605319,1
business,7332957596488344482,1
bvb,-2473942530860239382,2
bvblazio,-2028143967162746778,1
cabrini,2908833583525739950,2
cacciatoredipaesaggi,4763487657953940211,1
caffemilani,6803734497354491766,1
calabria,-5699740296162284677,3
calcio,1329470385023808106,3
calendariodellavvento,8913769579279242304,4
calze,-6145529585392143950,1
cam4,771969325159149140,1
cam4live,5477282982950138300,1
cambiamoagricoltura,5626461595748626133,1
cameredicommercio,-6432500239255067399,1
camoranesi,5137311279656716836,2
camorra,-6940759784506233743,2
canabisprotectio,-3200714367476543350,1
cangibiol,7386603927461462437,1
cani,-2412245631324819592,2
cantastorie,-3901756308194403403,1
canyaman,-453352567177648786,50
canyamanproduawards2020,-3473111526570020901,1
caorle,-5305767930695197308,1
capitalismo,7011466401659198731,1
capodanno,-3963855348244023876,7
caprie,-2777995385686858921,1
carabinieri,-1231038886082782739,4
cardinalecrescenziosepe,-3506906007262379924,1
caritas,3400510038456596335,1
carne,-1450161083808465121,2
carratelli,8512036102472422690,1
cartaigienica,1095929864489304583,1
casa,-820068608016998255,1
casaleggio,-1956198435922145345,3
casalettori,-9092005240712144313,10
casellati,7584833808496247873,2
casestudy,-8639550727775056486,3
caso,-6576884845852077235,1
castellabate,-3104168371936690678,1
castellabatenotizie,-787516060062210464,1
casualnightgds,-275634393870111331,1
catanzaro,8574362446444081233,1
cavalloditroia,-6675907046394456868,1
cavazza,2807325968186621097,1
cazzari,-9102903350831951612,2
cazzo,-3791190699750929417,1
cei,862458801702157399,1
centocelle,-2416832572432158625,8
ceramica,-9071763054700920339,1
cervia,-5290405171665036438,1
cgilcisluil,-540110783912361130,2
champions,436313259091822204,1
championsbookleague,6535698782568339264,2
championsleague,6095467895982000867,6
chart,6313704790868839482,2
chevalier,525759179080375133,1
chezdansimo,1512858072899621082,1
chiaraferragni,-5205723296752377442,1
chiarafrancini,-6646368948278502786,1
chicagopd,3985417319404695961,1
chiccogiuliani,7263030253728330083,1
chiellini,8478460495796271687,2
chiesa,1599042503265088230,2
chisa,7356753220320096461,4
chiuseleestetiste,3774265573069404979,1
christmastree,6912442519417134420,1
christophernolan,4428638484788859436,2
cialtrone,2179852362563142743,1
cilento,-4178423998341835372,1
cilentonotizie,7732728811585204545,1
cina,3990998605495907190,2
cinecittàinunclick,-7463283651447966546,1
cinegiornale,8088245698960834308,1
cinema,3362460651577784866,5
cinese,-3701860492827079634,1
cinghiale,-6614630666389156659,1
cip,-477678247742458904,1
circozzi,-9088839313442042580,26
circulareconomy,-5854535017867206332,3
cisco,191602676933012281,1
cisl,353853342756919641,4
citazioni,3627226914246249767,1
civico111,-4351267988116421843,1
claudiosona,6228226378325234750,3
clochard,-3076400781165874932,1
clooney,7175735505396927950,1
clorochina,8411142140104930954,2
cloud,3912212824525453166,2
cn24tv,2730427092260803001,1
coachraho,-3690871925658661191,1
coda,2523563895105208268,1
coffeebreak,-85231894328859804,1
coglioni,-2078339560055710945,2
cogne,-7437071665608395460,1
collaborazionismo,8173932039971628001,1
collaborazionista,-1442275246640211823,2
collegio5,7422926147987702133,1
comano,-3110716849510456051,1
combattere,5746514789170815251,1
comeilcantodelmare,-4324118370999489531,1
comip,-8071335135689937815,1
commercialista,-1501555488072925028,1
competenze,-2488802792239199544,1
comunismo,-6673083758587165566,1
comunitàeducante,-2548412283338264029,1
concistoro2020,4536533038687853940,1
condividi,-6264254591094097589,1
confindustria,8923431742752455126,3
congedo,5452374655224249966,1
congiuntifuoricomune,-2520214973216057754,3
congiuntifuoriregione,-4020172002495757825,20
congiunto,652428142983524808,1
conibambini,-5713507824456591551,1
consento,8736394943829412422,1
conservazionedelleparticomunidelcondominiocatania,6191870131615471318,1
conservazionesostitutiva,903206491099999358,1
consiglidilettura,-3640813489023717080,1
console,8781388723799910719,1
contabilità,-8452314413902711312,1
contackt,-7844907935608863854,1
contatto,5562678872281558508,2
conte,-3990107436490520451,19
