hashtag,node_hash,weight
libro,-2718013870867287522,1
licianuneznotforall,-3420044611104243067,1
lifegoesonno1bb100,1707936225633971877,1
lignano,-8054703135057054802,1
livenoneladurso,-2453020337467753316,1
lobby,-5565915691950759368,3
locatelli,6248883977360909294,1
lockdown,-3545895561594192883,11
lockdown2,998510191472468426,2
lockdownitalia,7714015496168499782,1
lombardia,2475893105596609590,3
lostonarrival,7877475160372276364,1
lotito,4765833373085065547,2
lotteriadegliscontrini,7464631448607464537,23
loveisnottourism,-5362331783102189495,1
lpone,2220066769811097414,1
luceverde,4583204485716377960,3
luckygirl,-1014465033775685017,1
lultimasposadipalmira,2468958267345051284,1
lutto,-9141709462371054887,1
m5s,3814547759701476982,4
macifateocisiete,4201756140837369412,1
mafia,-5719642568759755999,1
magic,682493402710422510,1
magica,7531398186016899337,1
magicfinance,7638824498289756084,1
magicinthemoonlight,-414922002232918456,1
magicthegathering,-2667527604386946820,1
makeup,7009016524873181211,1
maldive,-4306004900261891209,1
malgioglio,-7981480467934994076,1
maltrattamentodianimali,6376723329279239932,1
mamamoo,5743599070295808277,1
mamavote,7889697460935341578,2
mamma,-7120398217530572906,1
manchi,-2835538498487685477,1
mancini,8811065215674878539,1
mangiare,4797776329968892534,1
manhattan,-1054016757766252181,1
manufacturing,-3192030086148580716,1
manutenzione,-8903544415653987534,1
maracanà,-7147967321124493910,1
maradona,2670127624090965197,7
maradona10,3435057392400558641,1
maradonaeterno,8953201911501279895,3
marcomengonidailysong,-4625024315583575705,8
marghetira,-3947523369119608884,1
mariolavagetto,2699155340171022116,1
marketing,3819191409150949874,1
marotta,1316301807990260763,1
marshall,2418105729529590281,1
martedipiovoso,2976790281369751278,1
marteditette,5833255389278469361,1
martedì,-3351902463782762573,1
martedìtette,-6008192996332112686,3
mascherina,6946503693371601707,1
mascherine,5036494350426316701,1
massimiliano,3701654484633013004,1
massimo,1514826795274696781,1
master,-2978777981441031803,2
matagalanplantae,-5356148946385869333,1
matrimoniopertutti,1623553924194001198,1
mattacchioni,-4444351912069745125,1
mattarella,-371765124213616871,2
mattinata,-5447287261322497701,1
maturita,8447319590258336365,1
mazaradelvallo,6550333700202285797,1
mbareastudi,4880801320844606517,1
mdb,8255128841343231947,1
mea,-8123791564170080676,1
medalofhonor,4891911770843587490,1
mediaset,-3041103511644626389,1
mediasetitalia2,6335915430189839528,1
medici,-3249093088690143213,1
medicinamolecolare,6053935693847436428,1
medievale,-3877115166874970459,1
mediobanca,-1147484588918955233,1
mef,1164106668994071467,1
mehdi,-2442979563803723620,1
mele,-7319351662608427902,1
melog,3911850237235907965,1
meloni,-7463328650283759139,1
mensamontevarchi,-8761142696012483126,1
mentana,4433182931314669022,1
mentina,3152757719955539248,1
mes,2746169209388753911,29
mesedellascienzaoff,9088723935835369883,1
messa,-3458028095320885259,2
messadimezzanotte,-8611691818688259732,2
messadinatale,339137464424786045,1
meteo,-3285220391060883915,1
meteopiemonte,5994962463732448317,2
mibac,3372300260492381476,1
midnight,8184290800725338676,1
midnightsky,4178433265830147143,2
midweek,3753068311081235133,2
miele,2345351362072114120,1
migrazione,2666909427422248458,1
migrazioni,-8720804272281641688,2
miguelangelsoler,-2740561131588444441,1
milan,3555661527289492634,8
milanfiorentina,-2517036006936783392,1
milano,5770142184442321196,4
milanocittastato,-6242961451876151960,1
milf,9181672736885156372,1
minibot,4878539433510004174,1
ministro,4679029673060570859,2
misalvichipuo,3792154232614278237,1
missing,7405006727995534225,1
mistress,726439224894241031,1
miur,4758524811463361097,1
modello,-7210276315670731326,2
moderna,2431278867686107410,2
moglie,4700152302580490027,1
mohsenfakhrizadeh,-4431824346617653803,1
mollette,4291620673205849781,1
mondaymotivaton,669383844369695329,1
mondiale,-5154479088437349187,2
mondo,-2014687045567412794,1
mondorossoblù,3160771067723397862,1
moneysalve,7156264479913076432,1
montgomery,-6365587960262980213,1
morra,-5861691621284509247,1
mortalità,-5891067898781757874,1
mortidifame,7013390852958666246,1
motori,3330943157283665750,1
movimento5stelle,1642641098384992442,2
mrb,-3542764033544273551,1
mrwrong,-3562116848989827739,47
mrwrongproduawards2020,7887244423215466161,1
mtg,6571082007939350667,1
mtgcash,7937632969715575878,1
mtgfinance,-2839360279145385017,1
mtgitalia,-2592878366471321954,1
mughini,-653959239225956607,1
musicmemories,-47108706251759161,3
mussulmanaesaltata,-6481814778502526805,1
mustier,6892296746846619565,4
my2kweek,-68940736035117190,1
mypussy,-1213028566309662949,1
nagornokarabakh,-7723366651342486940,1
napoli,-3419893306127533967,3
nas,717262477093671146,2
natale,18434130727806619,25
natale2020,-8197691800790388040,3
nataleafirenze,4769056076557329991,1
natalizio,-206383174198504584,1
natioggi,-2643832322900227436,1
nato,3725572041038882798,3
nauticatarello,7355581799227003614,1
navalnyj,-1576793876266631285,1
ndani,5981142957331475268,1
ne,-3742721972482114489,1
nellunione,-6940291907765085236,1
neotenia,-729403386458404080,1
newprofilepic,-1609997871340880388,4
news,922231461339870867,10
next,7011165639599844811,1
nientecome,3841542102724274725,17
nigeria,-2573130791891462130,2
nintendo,-6150870814383383122,1
nmekojoa,-4118023021740389204,1
noaids,-273207874524330530,1
noccioladay2020,-5080065017511309085,1
noir,-1166965830469205306,1
nolanfilmfestival,1564006869792505968,1
nomadidigitali,-5387736179108680854,1
nomes,4555631681576321834,3
nomesnotroika,-4934936097569323922,1
nonconsento,-410392289186969304,1
nonleggerlo,-3724357122152015904,3
nonstobene,-8975192663103227157,1
norcia,1550568501648500751,2
nordest,6838665589174318836,1
nostalgia,5907083135625851378,1
not,659787701305811615,1
notav,-5703124400332570100,1
nothingoftrue,9202996739022450862,1
notizie,7028390265469264697,4
novara,5605585649090154251,1
nowplaying,3353864894025996069,1
nttdatablog,-3945439434962513465,2
nuovafotoprofilo,-989717529280849047,4
nutrie,-2846319202020189090,1
nylon,-2516765901249725851,1
nylongirl,-3357042297570423100,1
nytimes,7811151086393637279,2
oban,-6837702466434689218,1
oferta,2846334982911874828,1
offerta,3453563131593817839,2
offerte,1119715146830208656,3
ofin20,917798542419311068,1
ohmflukefanmeetingmemories,-2926769761952853412,1
oipomodoro,8891948102737546499,1
oleoturismo,3938033760924969567,1
olio,-5556570260596524748,1
oms,-3844157413633902855,3
oneactivists,2155000906774967083,1
onefm,-8477222831378775573,1
onestà5stelle,-78586282986673440,1
online,6682258218771076039,2
onlyfans,6947015976111244440,1
ontheair,5612496472079626802,1
onthisday,1069686604163249579,1
opencrpiemonte,6333021701771449282,2
oppini,7782236732769218971,1
opposizioneinesistente,428469881358235056,2
orario,-4523072137031003573,1
orasolaretv2000,6104049986376338206,1
orecchini,-8373324147163623964,1
orientamento,5583952086907407058,1
orsolini,-8574600043675212738,2
osservatoriosociale,7697218662716668567,1
osservatoriostatodigitale,-3894267548118685965,1
ossigenoillegale,-5876029112109142215,1
ostetricia,1606377940337020626,1
otlug,-5850174428035374602,1
ottoemezzo,-3339784696212593608,1
ozgegürel,-7867764399692934295,1
ozzyosbourne,-7400387614757006738,1
padova,-1525276649875833031,1
padredalloglio,-5020856127418361616,1
padrona,-8139984650412375380,1
pancetta,2318966201513501064,1
panciaaterra,7604554254730730566,1
pandemia,29073662271884960,13
paneelibri,554280745495670220,1
panettone,8330380870880956095,1
panettoni,3691271657162569844,1
paololatino,-5439355450880286655,1
papa,1498235369009224395,2
papafrancesco,-5376639117784233858,1
paperplanes,347241826799941744,5
paraschoswinery,3726880632795623430,1
parks,-1954353463863739113,2
parlacomemangi,-7684806087488336294,2
partnernonconviventi,-679247606884548363,15
passaparola,-4340609167774623628,1
passioneinter,8749846315028962215,1
pasticceriafilippi,298188794564755980,1
patate,1803750395066978694,1
patriarca,5947955554672572390,1
patrimoniale,-1573421147011589452,15
patrimonialeperchésì,-7241163119837315749,1
patriziarametta,-2305466307498163841,1
pavia,-5045828124128645301,1
pd,-1725610339780783689,1
peacock,-7722598707301751722,1
pearljam,-6838391718541011180,1
pensieriinuntweet,-4165657615555249527,12
pensierileggeri,-132288758949104038,1
pensiero,3657201446514239195,1
pensierosicuro_it,895289841879945516,1
pensioni,8910299407495543765,3
pepsico,-7613258112377415650,1
peri,-7036918329181689381,1
periferie,2712850981343682535,1
pernondimenticare,-7614949684484203705,1
perugia,2821342181164060111,1
perù,4775151572686108877,1
pessotto,-3529603852627898121,1
pesticidi,6205338137413920415,1
pfizer,-4304206624129602013,3
phedre,-8513876919452225520,1
philipmorris,-4541999397329988408,2
phishing,-7035489715160748544,1
photography,4316106585686086805,1
piaggio,-2824224224323914766,1
pianofreddo,-1561995122559192143,2
piatek,-3146893510590258320,1
piedi,-1668425940536988896,1
pierbau,-1653963710177985452,1
pierpaolopretelli,-7521319983710639891,2
pietre,3038258137676715012,1
pil,3291514787187713509,1
pilloleditalia,-1728734331186704464,2
pirlo,-7333736885654452028,2
piselli,-6210722222634871784,1
pistoia,1794758809409779837,1
plastica,-6814656405493301261,1
playoff,-6792536285573201903,1
playstation5,216254359343964286,1
pmi,2806727405275130858,1
pochette,8266322704782436464,1
poesia,-8211893017405719559,2
poesiacanad,-8582299039956445984,1
poesiacanadese,4698996576851411421,1
poesiaperlasera,1497783389167925296,1
pokemon,4297671423271450505,1
poleposition,7273300634758570213,1
polepositioncz,-5250025079321805228,1
politano,6655234757815175335,1
politica,-4590254465521388754,1
popcorn,-5155593839394697011,1
popolo,-2528683949426800051,3
popolobue,8711534318659449100,1
pornhub,-442754459025144208,2
porro,-6917371991549637337,2
portogallo,-7030855609121309961,1
positiva,-7802412326309796072,1
positivity,-1604848004828727731,1
possiamoaiutarvi,-6207586961174549539,1
postcovid,-1007547942755511860,1
pourleblackfridayjeveux,1154511265672769066,1
poveraitalia,8055931129971208303,1
povertà,-1196619499910343565,2
prelemi,6663050207908950012,4
prematura,4690114832731082925,1
premiogaetanomarzotto,1735789263107569974,1
premium,2598368488845630320,1
preservativo,-3118999289287315504,2
prevenzione,1155447562395859533,1
primacomunione,2307680793180010015,1
primopianobenevento,8944353462207551189,2
privacy,-1150635341423727574,1
processopenale,-546159203102566099,1
prodottianimali,-1025627834913051433,1
produawards2020,5118589064632539664,29
produawards2020özgegürel,-2537614490407298351,2
prof,-7933651200823834972,1
professionisti,4686035003975948989,1
progetti,-4082085573901931631,1
progetto,-8500345777200075773,1
progettospera,-968820312252956789,2
programmazione,5321428175316478305,1
project,-1371138058761050968,2
promoção,2537617946818368996,1
propaganda,911957746778403529,1
propagandalive,9096729075664564999,1
protezionecivile,-5100568323432967917,1
ps4live,8704845832455250699,1
ps4share,-3728828703763327696,2
ps5,6164261335833001910,1
ps5launch,-5277334455277423579,1
ps5restock,9166460056200675450,1
ps5uk,-2733555982410658895,1
psdb,-144766889478007945,1
psicologia,-8875247552893070901,1
pubbliche,5472378934139421445,1
pubblicoimpiego,6496057422110076833,2
puncake,127007527842936919,1
puredoctrinesofchrist,6244898803086486455,1
pvr,-1389576083355189731,1
pvruready,1120894542941181271,1
qsvs,-1562602475139710491,1
quantesorie,2356502423974479462,1
quantestorie,855442383405090434,3
quasarvillage,-1231401982406219931,1
quater,1838237976605260423,1
quaterandmore,-9030778455708043099,1
quindicinale,8958243188961971130,1
rabona,-2515624680710341828,1
raccoltafondi,-4447367104297144944,1
racconto,7141692850662414214,1
radio,-50882696715206669,1
radio105,-7193633961130049856,1
radio1podcast,-55290813234778165,1
radiocrt,2954638311438505147,1
raggi,-7886260882623593477,1
raggiacasa,6308494378238814721,1
raggiunti,6259468025558972935,1
rai,-9126455819143441881,1
rai2,-8978043901913482351,1
rai3,989303399844005929,4
raiperilsociale,4885822811228431336,1
raistoria,6502574408952394362,1
ranieriguerra,2508933851080069831,3
rapporto2020,-5789564404056148077,1
rassegna,2410465978935000401,1
react,-3893952220450994537,1
reacthook,7639990281966412613,1
realmadrid,-6789424157231902172,1
reasonstohateme,-2407342460383142223,1
recensioni,-7634840527608570981,2
recensioniserietv,5663463895229929219,1
recoveryfund,-7863254300425740334,4
recoveryplan,1981423949366987413,11
red,-4174678400540235229,1
redlips,-6444751254155052512,1
referendum,7010741855588615264,1
regalo,-1281938947987062584,2
regeni,-4733733967404945802,1
regione,-2847274142107185099,2
regionelombardia,7579647040725061413,1
regioni,586984697135036618,5
relaxingmoments,-5003847708726935200,1
relazioni,-402602660356022970,1
renzi,8058792104972956389,11
report,-4378429075430521834,11
reportrai3,290583930775995859,3
resilienceimpact,-4950458416195116712,1
restettealsicuro,-5720612358358197646,1
retrogames,-4641717130927507569,1
retrogamesearch,-8919081295592220470,1
retrogaming,-8501335623906692698,1
revenant,3208299949423899198,1
revengeporn,1950290215820053854,1
rfsrecensioni,3822580206098076721,1
ricerca,-8270938736774855900,2
riciclaggio,4861156045164623833,1
riciclo,-8149717910228160824,1
rifiuti,-1303086488523048898,1
riforma,2394274580473507462,1
riformadelmes,-7360474890795842873,4
rigoni,-2704568001236845650,1
rimbalzo,3533268498159997881,1
rimborsicovid19,-9032982117765595670,1
ripartelitalia,-8351323211064517134,1
riqualifica,-3135617495372613214,1
ristori,4536567653049803683,1
risuonaitalia,-3022440122414818447,1
robertharris,-6965514018716102152,1
rodrigo,8803999548490860241,1
rollone,-4385914879422121971,1
roma,-5054796874073396174,7
romabologna,580777912300987916,1
romagna,-7745904811353942094,1
romania,5372313956021233502,4
romanzo,-2762290280197941329,3
rosaparks,-4992194922051881995,6
rosaparksday,-2027674176376891677,1
rosarno,7789329751213167783,1
roses,-6497398614752775373,1
rosmello,-8027738478940973759,31
rovigo,5586436238289927544,1
rsa,-5342799826807861701,1
ruanda,1885004133800471546,1
ruby,1312281257027892616,2
russell,2179004056990971901,1
russia,-1101955690134516537,1
safety,1456184187909239990,1
salalettura,4191486227089724521,1
salerno,-4792968587058908247,1
salute,-806390859011684694,3
salutementale,837767831540375933,1
salvatoresgirlssquad,-7105779877792484774,1
salvini,2981393473287125070,8
sanaaseif,-4219672353398755549,1
sanbenedetto,237942226387439888,1
sanremo2021,148131085875004509,1
sapevatelo,-5395617126360598871,1
sarannoavvocati,801306160202284213,1
sardegna,489471438347184135,4
sarkaruvaaripaata,-1962852692561379054,1
savethedate,4237220809721466403,6
sb19,6409578822034144533,1
sb19billboardsocialtop8,-3128828001865907957,1
scaleup,-2866265566400415972,1
scanzi,3320848548852784842,2
scecco,-1615905521153944667,1
schedina,-1624727429500291033,1
schiavo,8151251564554383262,1
sciare,-7157791347822962996,1
scienza,-8077121027671579586,1
sciopero,-5589486821467491476,1
scomparsa,-4736379544971452096,1
scrittore,-8375997194064650016,1
scrittoriemergenti,-159197394421485966,1
scrittrice,1755196020528916382,1
scrittura,8810579954774156553,2
scrivere,-7868549076714566639,1
scrivoquelchesento,9150524560351703139,1
scuola,-6615452551589949427,7
scuole,-4927985001215537599,1
security,5788027649983417220,1
selenagomez,8636583045583305804,1
seminario,8603735268205214487,1
sencalkapimi,-8236907150288694958,1
senese,30851324830463035,1
sençalkapımı,-2581132802402103249,2
sequestrata,-7260090427126410552,1
sequestrate,-3315541444385520681,1
sergiobambarén,-7010909931527753698,2
seriea,5762036042243288994,4
serieb,2327804332380759283,3
serietv,-4129629950953082838,5
sesamo,6003687438959121805,1
sesso,412681225396126475,1
set75279,-700491020329838053,1
sex,-4760602059048528300,2
sexpeditionstunner,-3190933577257307417,1
sexy,6004807818147521508,1
sf9,9080006817066354762,1
sferaingegneria,-8606365302624645355,1
sfiducia,-555924992595329390,1
shadowhunters,-7437153897698841219,1
shaimasami,-570099251577024290,1
shakhtar,-715484486494188277,1
share4carers,-2409233557719622735,1
shopping,2368017543376859128,1
show,-4523282146577601339,1
siamotuttimaradona,-2229890227063445593,1
sicilia,-6908670909562576663,1
sicurezza,-7351830627138701154,8
siena,8909691074640574350,1
sigarette,-8539522180189905024,1
sigfridoranucci,-3871309413163368020,3
sileri,-4452281619212883900,1
sindacato,-2257309088619329612,2
sindacovincenzofornirossi,-4216663374878640108,1
sinistra,219528946587038126,1
siria,-7651757717573435537,1
sisma,2710631904213826437,2
skycotl,-9091907084586119365,1
slave,-3579639258089805730,1
smalling,3737703189322205816,1
smile,1366333581993276379,1
snpa,9141640114216258779,2
social,-473416764260854087,1
socialisti,-8844225651184250565,1
socialslam,-5323037223998565953,1
software,6862835843540792416,1
solocosebelle,-6963959629116602679,1
sony,7868692874449695017,1
sos,6395225422298632675,2
sottiledifferenza,2846667386991279287,2
spacebeyond,-6959422908154711893,3
speakupmagazine,3192919263335725899,1
spedizioni,-8828855915830310166,1
speranza,7560756292490918336,3
speranzadimettiti,-1599308240446029573,2
spesa,-7014372300755397186,3
spininelfianco,608237281552377683,1
sport,7826089938010519129,1
sportmediaset,-6172712557940119265,1
spritzforfuture,-5191845143322398728,1
stadi,-4794811937313211909,1
stadiodiegoarmandomaradona,8982782451063038084,1
stampaggio,2437873914013618857,2
stampaggioainiezione,4815317273781945198,2
startup,6228480488236942816,2
stasera,-8354587763482065524,1
staseracasamika,8393536498226869569,1
staseraitalia,8056263925736550946,1
statisti,-5518397232648833747,1
stato,4885689603759715770,1
statueofliberty,-538973850662774177,1
staytuned,3194965975313692166,1
stecca,3320747054959820824,1
stella,-683483223179058355,2
stolen,4823695634429790229,1
stopaids,-2248845776440868295,1
stopmes,-2266240808795063695,7
stopthestigma,-6293944246264529820,1
storie,-1876165122778847712,1
storytelling,6959279641323547290,1
stradenuove,7727419831367679640,1
strategico,-5435497745172926,1
stress,-1233841541744325839,1
stroessner,-1326776558292860620,1
strong,-8944174827986386525,1
studioaperto,-8535921038016798951,1
studiocommerciale,-5938919253072759937,1
stupefacenti,-3325989150421557355,1
stupro,3916360069187433455,2
suicidio,-8447079385350957799,1
sulla,-8985649738539929814,1
superbonus110,2136458447197831739,1
supernatural,-9023137171915184612,1
surprise,537239660041128007,1
svizzera,1218291899288115606,1
tabacco,2233163208969244323,4
tacevi,8550063467288462571,1
taehyung,9003390943583931873,1
tajani,-2902515990102272506,1
taleggio,-4397062665042106703,1
talento,3117904656417210610,1
tamponi,-7158907163473174482,1
tare,-8454013852049877124,2
taskforce,-5744325002800352614,1
tassa,-3736268714009910061,4
tauromachia,-6847935504547502136,1
tb,-4169629471388740338,1
teamaivan,2495411804425669961,1
teamoftheyear,-6026752121899375113,6
technology,-7035997772266810224,1
tecneco,-9147479766302621723,1
tecnecofilters,-6530974519634162798,1
tecnecofiltration,-4166056041637172117,1
tecnologia,7609309701397329976,1
tecnologie,6781843871872735816,1
tedtalk,6103027873952142951,1
tedxpadova,3338137819281834550,1
telegram,2618614214673109610,1
tempi,1627722268708590710,1
terapieintensive,-3489360173583837814,1
terremoto,4021492686524609445,3
territorio,-7584293463859524022,2
tesla,-3197542958938011214,1
tette,2527168757671337672,1
tettedelmartedì,3551814872570309761,1
tettone,4516436066770016260,1
tff38,8675300876551289120,1
tg2rai,-3915485332803633690,1
thatskygame,-8660310990970717678,1
theboys,-7235706033380657308,1
thecrown,2068051933844212259,1
thegameawards2020,-8653405329766911504,1
theindependentfiltersfactory,-3208031913719447933,1
thesnakeswedding,-6223387798725141938,1
tigrè,-4605352328758216014,1
tiktok,6925070377610478036,1
tivogliobeneermal,-52054457643155722,1
tokyonoise,2307357586122373038,1
tommasoimmune,-2771154426399408934,1
tommasozorzi,6740942024547967231,1
topps,3586814739684522662,1
torreannunziata,6053972126565735848,1
torta,-2604915907999055282,1
totocalcio,-6955001029165473433,1
totw,-1726276558826264430,1
toyota,5792308960988522365,1
tracce,9123393925619064201,1
tradimento,-3693984832204359675,1
traffico,2439944102054178078,1
trasferimenti,-1728298857583521163,1
trasparenya,7266599006456081800,1
trilussa,-3035057563695129436,1
troika,6809517265105308829,2
truenumbers,144019353941435457,1
truffa,6803900342032117499,1
trump,482737821371248023,3
tso,-5652437549181595943,1
tudors,-6608285052798446951,2
tuesdaymotivations,-575526409852596818,2
tuesdayvibe,-7335514429100442438,1
turismopertutti,7854815859893324737,1
tuscia,1997472710272854065,1
tutticonbitti,217306482088239013,1
tuttocampo,5234818774804302146,1
tuttofinito,-3901170427053007574,1
twinmirror,4650708754998168065,1
ubriacone,8638497418547283018,1
ucl,6230487509782998713,4
ue,4481093905816522110,5
uefa,-6509684074959738319,1
uk,7051126796115978796,1
ultimenotizie,-1329085564827199336,1
umbria,-1580301855935917142,2
unachristmasnight,1564632194269617002,2
unapoltronaperdue,3727360143880808078,1
unappanoicisiamo,-9120117214870926733,1
unaterronaatorino,-8199245622045819668,1
unconsiglioinunclick,2382813991576891311,1
under23,126921319116146239,3
unesco,914957894274558097,2
unfit,1439773677162264999,1
unicredit,152119809680357397,4
unimc,6924434382540704794,1
uninettuno,7382942655299863181,1
universita,-3302049503891850668,1
universityesports,5422512447921365811,1
università,2548070294349169820,6
unseenworld,-2923673549003254729,1
untemaalgiorno,1957651732369018036,6
upsidedown,5097283523031414496,1
urologi,1032980416001387625,1
ursnif,-6698690084966304305,1
usa,8155818644313586276,1
utenti,-180824723703361086,1
uwcl,7832830577512482475,1
v2,-7068575861599686806,1
vaccini,-2900745956473140205,2
vaccino,5331187406218590005,3
vaccinoanticovid,8375622091242555775,4
veneto,6014126029684569593,5
ventaglidiparole,2585051601668346585,15
vercelli,-4202745629644077417,1
verdicristicchi,8711479940415159887,1
veretout,7679322928044686140,1
vergogna,8285605957468374317,1
veritapergiulioregeni,100179398185960221,2
verona,-5879454215129029506,1
vesuvio,-8022297005702271590,2
viabilità,712102606668770371,1
vicenza,-4382786483653583963,3
vidal,-5428793699799699690,1
video,1864711766143152645,1
vigilidelfuoco,198343041247518242,1
villa,6018579245528611020,1
villafranca,-861537900532137473,1
vincente,8848306466829918823,1
violenzadigenere,1386188349919110110,1
violenzasulledonne,6898484466695980806,1
virologiintv,-5025546936382626079,1
viruselaw,42705379145048619,1
visone,8767987000379421211,1
vitadalettore,-9193875892811493112,1
vitainvolontaria,-145207625221809627,1
vitale,-2633024530766421669,1
viteinfuga,781848922539456703,1
viterbese,-4714532326893655018,1
vittima,6642825048638310980,1
vittoriosgarbi,-1777593167351644826,1
vizcarra,1874676148420864295,1
vociitaliane,-9037073131282994815,1
vogliamolaverità,2189055521960317133,1
volevonascondermi,-4654083899746611265,1
volleynews,6586746811150267058,1
volume,-6907926557453810869,1
wad2020,7872940926566250629,2
webinar,3219445589766349412,3
wef,-5839682328972295403,1
welcomeday,-8713860527900007610,1
weloveleeknow,1031462492821457436,3
wesatimes,7844907541864606363,1
westandwithfarmerschallenge,4167408966549286700,1
wesupportfarmers,-3794184692565305347,1
whamageddon,5936631314355622922,1
whitehouse,6328350180705626859,1
whitneyhouston,-3218783540965327513,3
wimoreenergyvolleyparma,-1529040624884386090,1
wiredtrends,4810810516657593339,2
wolfisback,5073270666601559588,1
wonderfulworld,2450117471019340054,1
woody,5868352579814067754,1
woodyallen,-1254165609698148279,14
work,5189075002031951207,2
worldaidsday,-5669005548993730850,24
writer,5857147526200495267,1
writers,-1278367187610722194,1
writing,-6496544443568125296,1
wwf,8348544674193224965,2
xbox,1132694204383573348,1
xiaomi,6904591431555285797,3
xinjiang,-1434683936167236312,1
youtubeitalia,85622595723688812,1
zauli,-575647252459992073,3
zayn,-6127781481746553627,1
zeymeh,-1910454599670493623,1
zeynep,7874416855828949181,1
ziam,4469324445148612412,1
zigibaby,-7158298456152731575,1
zigisareoverparty,-3531342666902705630,1
zingaretti,-2365092660127017185,1
zonaarancione,-2549878580437346712,1
zonearancioni,-2803140374723478714,1
zonerosse,7874423091439676373,1
zoom,-1952108469138689845,1
zorzi,-2969394137986502636,1
èsempremezzogiorno,5868226757897768758,1
ésempremezzogiorno,-8152242093550675555,1
özgegürel,5601657817119550727,37
özgegürelproduawards2020,5178850056847732448,1
レッドブル,3337362423463293014,1
방탄소년단,-8444363150007250844,1
블랙핑크,-5355585970389683706,1
𝐜𝐨𝐫𝐫𝐢𝐝𝐚,-6648893589077387349,2
𝗔𝗦𝗦𝗨𝗡𝗭𝗜𝗢𝗡𝗜,4387164964232080735,1
𝗖𝗢𝗡𝗧𝗥𝗔𝗧𝗧𝗜,-2362409878296381448,1
𝗣𝗔,5472610393266751024,1
𝗦𝗜𝗖𝗨𝗥𝗘𝗭𝗭𝗔,-3692466415965333825,1
